"Timestamp","¿Qué edad tienes?","Lista de actividades: [YOGA]","Lista de actividades: [NATACIÓN ]","Lista de actividades: [BAILE ]","Lista de actividades: [GOLF ]","Lista de actividades: [GIMNASIO ]","Lista de actividades: [TIRO CON ARCO ]","Lista de actividades: [ZUMBA ]","Lista de actividades: [TENIS]","Lista de actividades: [CLUB DE LECTURA]","Lista de actividades: [CLUB DE ESCRITURA]","Lista de actividades: [PINTURA]","Lista de actividades: [MÚSICA ]","Lista de actividades: [MACRAMÉ]","Lista de actividades: [INFORMÁTICA]","Lista de actividades: [JARDINERÍA]","Lista de actividades: [MANUALIDADES]","Lista de actividades: [IDIOMAS]","Lista de actividades: [COCINA]","Lista de actividades: [COCTELERÍA]","Lista de actividades: [CERVECERÍA ARTESANAL]","Lista de actividades: [CATAS DE COMIDA Y BEBIDA]","Lista de actividades: [BINGO]","Lista de actividades: [PARCHIS]","Lista de actividades: [AJEDREZ]","Lista de actividades: [TEATRO]"
"2022/03/11 7:27:28 pm CET","Más de 55 años","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/03/11 7:32:28 pm CET","Más de 55 años","1 No me gusta","3","1 No me gusta","3","1 No me gusta","3","1 No me gusta","3","2","2","2","3","1 No me gusta","3","3","3","2","3","3","3","3","1 No me gusta","1 No me gusta","2","3"
"2022/03/11 7:50:52 pm CET","Más de 55 años","1 No me gusta","3","3","","2","","3","3","","","1 No me gusta","2","1 No me gusta","","3","2","2","2","","","1 No me gusta","1 No me gusta","1 No me gusta","","1 No me gusta"
"2022/03/11 7:55:37 pm CET","Más de 55 años","3","5 Me encanta","4","1 No me gusta","1 No me gusta","","","4","","","","","","","3","","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","3","",""
"2022/03/11 8:35:38 pm CET","Más de 55 años","1 No me gusta","2","1 No me gusta","1 No me gusta","4","1 No me gusta","1 No me gusta","5 Me encanta","5 Me encanta","3","1 No me gusta","4","4","5 Me encanta","4","5 Me encanta","3","3","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","3","2","3"
"2022/03/11 8:59:22 pm CET","Más de 55 años","1 No me gusta","","","","2","","","","","","","","","2","","","3","3","","","","","","",""
"2022/03/11 9:08:50 pm CET","Más de 55 años","1 No me gusta","4","2","1 No me gusta","4","1 No me gusta","1 No me gusta","2","4","3","2","2","1 No me gusta","3","3","3","4","4","1 No me gusta","2","1 No me gusta","1 No me gusta","2","2","4"
"2022/03/11 9:12:25 pm CET","Más de 55 años","2","3","1 No me gusta","3","2","1 No me gusta","1 No me gusta","3","3","3","1 No me gusta","5 Me encanta","1 No me gusta","4","3","2","3","2","1 No me gusta","1 No me gusta","2","1 No me gusta","3","2","3"
"2022/03/11 9:16:38 pm CET","Más de 55 años","4","3","5 Me encanta","1 No me gusta","2","","5 Me encanta","","2","3","2","5 Me encanta","2","2","5 Me encanta","5 Me encanta","5 Me encanta","5 Me encanta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","","4"
"2022/03/11 9:24:09 pm CET","Más de 55 años","2","","2","","","","","","2","","","2","2","2","","2","","","","","","2","2","","2"
"2022/03/11 9:25:56 pm CET","Más de 55 años","","3","","","","","","2","","","","5 Me encanta","","4","5 Me encanta","","5 Me encanta","3","","","","","","3","4"
"2022/03/11 9:28:00 pm CET","Más de 55 años","","","","","","","","","","","","4","","4","5 Me encanta","","","","","","","","","4",""
"2022/03/11 9:28:49 pm CET","Más de 55 años","2","1 No me gusta","3","","1 No me gusta","","1 No me gusta","","2","","3","3","3","1 No me gusta","3","3","2","2","","","","","","",""
"2022/03/11 9:29:54 pm CET","Más de 55 años","","5 Me encanta","5 Me encanta","1 No me gusta","1 No me gusta","","2","2","3","","3","5 Me encanta","","5 Me encanta","","3","5 Me encanta","4","","4","4","1 No me gusta","1 No me gusta","2","2"
"2022/03/11 9:35:34 pm CET","Más de 55 años","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","5 Me encanta","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","1 No me gusta","3","1 No me gusta","1 No me gusta","5 Me encanta","2","1 No me gusta","5 Me encanta","1 No me gusta","1 No me gusta","1 No me gusta","2"
"2022/03/11 9:42:44 pm CET","Más de 55 años","","","","1 No me gusta","","1 No me gusta","1 No me gusta","","2","","3","2","","","3","3","","2","","","","1 No me gusta","","","2"
"2022/03/11 9:43:35 pm CET","Más de 55 años","4","5 Me encanta","","","2","","","3","4","4","3","4","","3","2","2","3","3","","","","","","3","3"
"2022/03/11 9:45:38 pm CET","Más de 55 años","3","3","3","","3","","","3","3","3","","3","","3","3","3","2","2","1 No me gusta","","2","1 No me gusta","3","3","3"
"2022/03/11 9:46:04 pm CET","Más de 55 años","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","3","1 No me gusta","1 No me gusta","1 No me gusta","2","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta"
"2022/03/11 9:47:34 pm CET","Más de 55 años","","4","5 Me encanta","","4","","","","","","4","5 Me encanta","","","","5 Me encanta","","4","4","4","5 Me encanta","2","5 Me encanta","","5 Me encanta"
"2022/03/11 9:48:35 pm CET","Más de 55 años","","4","3","","","3","","","4","4","","4","","","","","","","","","","","","3",""
"2022/03/11 9:52:25 pm CET","Más de 55 años","3","3","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","4","1 No me gusta","3","1 No me gusta","1 No me gusta","1 No me gusta","3","2","2","4","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta"
"2022/03/11 9:55:00 pm CET","Más de 55 años","3","4","5 Me encanta","1 No me gusta","2","3","2","4","5 Me encanta","5 Me encanta","4","5 Me encanta","1 No me gusta","3","2","1 No me gusta","5 Me encanta","3","1 No me gusta","1 No me gusta","2","2","4","5 Me encanta","5 Me encanta"
"2022/03/11 9:55:00 pm CET","Más de 55 años","3","5 Me encanta","3","1 No me gusta","5 Me encanta","3","3","2","5 Me encanta","4","3","2","1 No me gusta","4","3","3","4","4","1 No me gusta","3","2","3","3","2","4"
"2022/03/11 9:55:31 pm CET","Más de 55 años","2","2","2","2","4","2","4","3","3","3","2","3","3","3","3","2","3","5 Me encanta","2","2","2","3","3","1 No me gusta","5 Me encanta"
"2022/03/11 10:05:45 pm CET","Más de 55 años","5 Me encanta","5 Me encanta","5 Me encanta","2","5 Me encanta","3","5 Me encanta","3","3","2","4","4","4","3","3","5 Me encanta","5 Me encanta","4","1 No me gusta","","","","1 No me gusta","1 No me gusta","2"
"2022/03/11 10:10:42 pm CET","Más de 55 años","","2","5 Me encanta","2","4","","5 Me encanta","","4","3","4","3","5 Me encanta","3","5 Me encanta","5 Me encanta","3","4","4","4","","","4","2","5 Me encanta"
"2022/03/11 10:11:59 pm CET","Más de 55 años","3","","","","","","","3","","","","3","3","3","3","3","","3","","","","","3","",""
"2022/03/11 10:13:12 pm CET","Más de 55 años","4","2","","","3","","","","","","","","","3","","","5 Me encanta","4","","","","","4","",""
"2022/03/11 10:13:46 pm CET","Más de 55 años","5 Me encanta","3","5 Me encanta","4","3","4","4","4","5 Me encanta","4","3","4","3","3","4","3","3","4","2","2","2","2","4","4","5 Me encanta"
"2022/03/11 10:19:17 pm CET","Más de 55 años","","","3","","3","","","","","","3","3","","","","","","","","","","","","","3"
"2022/03/11 10:20:32 pm CET","Más de 55 años","4","3","4","","3","","","","3","","3","3","","3","3","3","","4","","","","","5 Me encanta","5 Me encanta","5 Me encanta"
"2022/03/11 10:20:37 pm CET","Más de 55 años","5 Me encanta","5 Me encanta","4","","2","","","","4","","5 Me encanta","5 Me encanta","","3","5 Me encanta","5 Me encanta","3","5 Me encanta","","4","","1 No me gusta","3","","5 Me encanta"
"2022/03/11 10:22:32 pm CET","Más de 55 años","","3","4","","","","","","4","","","","","","","","","","","","","","5 Me encanta","",""
"2022/03/11 10:25:11 pm CET","Más de 55 años","3","","","","","","","","","","","","","","","3","","3","","","","","","",""
"2022/03/11 10:25:46 pm CET","Más de 55 años","2","4","3","4","4","2","2","2","4","3","2","2","","4","3","4","3","4","4","3","4","4","4","4","4"
"2022/03/11 10:32:44 pm CET","Más de 55 años","3","","","","","","","3","","","","","","","3","","3","","","","","","","",""
"2022/03/11 10:46:47 pm CET","Más de 55 años","3","2","2","","2","","","","3","2","2","3","","2","3","3","2","2","","","","1 No me gusta","3","","3"
"2022/03/11 11:16:08 pm CET","Más de 55 años","2","1 No me gusta","4","1 No me gusta","5 Me encanta","1 No me gusta","2","1 No me gusta","3","2","4","5 Me encanta","1 No me gusta","3","1 No me gusta","2","2","2","1 No me gusta","1 No me gusta","3","1 No me gusta","3","2","4"
"2022/03/11 11:43:23 pm CET","Más de 55 años","","","3","","","","","","","","","2","","","2","2","2","2","","","","","","",""
"2022/03/12 12:14:55 am CET","Más de 55 años","2","2","3","1 No me gusta","3","1 No me gusta","2","2","3","2","2","2","3","3","3","3","2","3","2","2","3","1 No me gusta","2","1 No me gusta","2"
"2022/03/12 12:20:14 am CET","Más de 55 años","","","","","","","","","","","","2","","2","","","","2","","","2","","","","2"
"2022/03/12 12:21:37 am CET","Más de 55 años","","","","","","","","","","","","2","","","","","","2","","","2","","2","","2"
"2022/03/12 12:56:46 am CET","Más de 55 años","1 No me gusta","2","2","1 No me gusta","1 No me gusta","1 No me gusta","2","2","2","2","2","1 No me gusta","2","1 No me gusta","2","2","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta"
"2022/03/12 7:40:10 am CET","Más de 55 años","","5 Me encanta","3","","","","","","5 Me encanta","5 Me encanta","5 Me encanta","","5 Me encanta","3","5 Me encanta","5 Me encanta","2","5 Me encanta","3","2","5 Me encanta","1 No me gusta","3","3","5 Me encanta"
"2022/03/12 7:55:47 am CET","Más de 55 años","4","5 Me encanta","3","1 No me gusta","4","1 No me gusta","1 No me gusta","2","2","3","4","4","4","4","3","3","3","3","","2","2","1 No me gusta","2","2","4"
"2022/03/12 7:58:51 am CET","Más de 55 años","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","2","2","1 No me gusta","3","1 No me gusta","1 No me gusta","2","1 No me gusta","2","1 No me gusta","2"
"2022/03/12 8:17:15 am CET","Más de 55 años","1 No me gusta","1 No me gusta","2","1 No me gusta","3","1 No me gusta","1 No me gusta","1 No me gusta","2","2","2","2","2","2","2","2","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","1 No me gusta","2"
"2022/03/12 8:23:02 am CET","Más de 55 años","","","","","4","","","","4","","","","","4","","","4","","","","","","","4","3"
"2022/03/12 8:37:02 am CET","Más de 55 años","","3","3","","1 No me gusta","","","2","3","3","3","3","2","2","2","2","3","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","3","3"
"2022/03/12 8:38:56 am CET","Más de 55 años","4","","4","","3","","3","","","","","","","","","","","","","","","","","",""
"2022/03/12 8:47:47 am CET","Más de 55 años","","","","","","5 Me encanta","","","","","5 Me encanta","5 Me encanta","","","","","5 Me encanta","","","","","","","",""
"2022/03/12 8:50:09 am CET","Más de 55 años","1 No me gusta","3","1 No me gusta","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","2","1 No me gusta","2","1 No me gusta","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","1 No me gusta","2","1 No me gusta"
"2022/03/12 8:53:15 am CET","Más de 55 años","","3","","3","2","2","2","3","","","","2","","","","","","","","","","","","",""
"2022/03/12 8:53:53 am CET","Más de 55 años","3","2","3","","","","","","","","","","","3","3","","","","","","","","","",""
"2022/03/12 8:58:09 am CET","Más de 55 años","","","3","","3","","","","","","3","3","","","3","3","","","","","","","","",""
"2022/03/12 9:00:29 am CET","Más de 55 años","","2","2","","2","","2","","","","2","2","","","","","","","","","","","","","2"
"2022/03/12 9:08:53 am CET","Más de 55 años","","2","2","","1 No me gusta","2","","1 No me gusta","2","2","","2","2","2","","2","2","2","","","","","","","2"
"2022/03/12 9:09:01 am CET","Más de 55 años","5 Me encanta","2","5 Me encanta","1 No me gusta","1 No me gusta","","","1 No me gusta","4","3","3","3","5 Me encanta","1 No me gusta","5 Me encanta","5 Me encanta","4","5 Me encanta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","3","3","3"
"2022/03/12 9:14:56 am CET","Más de 55 años","3","3","4","","4","","","1 No me gusta","4","1 No me gusta","1 No me gusta","4","2","2","3","4","2","2","","","","","2","","4"
"2022/03/12 9:17:55 am CET","Más de 55 años","","3","5 Me encanta","","4","","5 Me encanta","3","","","","5 Me encanta","","3","3","2","4","3","","","","3","4","","3"
"2022/03/12 9:18:08 am CET","Más de 55 años","2","2","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","2","1 No me gusta","1 No me gusta","2","1 No me gusta","2","2","2","1 No me gusta","2","2","1 No me gusta","2","2","2","1 No me gusta","2"
"2022/03/12 9:19:58 am CET","Más de 55 años","1 No me gusta","4","3","5 Me encanta","4","2","5 Me encanta","4","2","1 No me gusta","1 No me gusta","3","1 No me gusta","4","4","2","4","3","3","2","1 No me gusta","2","2","2","4"
"2022/03/12 9:21:02 am CET","Más de 55 años","","3","2","2","","","","","3","3","2","3","2","3","3","3","2","3","1 No me gusta","2","2","1 No me gusta","2","2","3"
"2022/03/12 9:23:39 am CET","Más de 55 años","","4","4","","4","","","","","","","","","","","","","4","","","","","3","","4"
"2022/03/12 9:24:55 am CET","Más de 55 años","","","","","3","","","","","","","","","","","5 Me encanta","","3","","","","","","",""
"2022/03/12 9:29:55 am CET","Más de 55 años","3","3","3","2","","","","3","3","1 No me gusta","2","3","1 No me gusta","2","2","3","3","2","1 No me gusta","2","1 No me gusta","1 No me gusta","2","1 No me gusta","3"
"2022/03/12 9:30:54 am CET","Más de 55 años","","5 Me encanta","5 Me encanta","","2","","5 Me encanta","","","","3","5 Me encanta","","2","5 Me encanta","5 Me encanta","","4","","","","","4","1 No me gusta","4"
"2022/03/12 9:35:30 am CET","Más de 55 años","3","5 Me encanta","5 Me encanta","1 No me gusta","4","1 No me gusta","1 No me gusta","5 Me encanta","5 Me encanta","5 Me encanta","5 Me encanta","5 Me encanta","1 No me gusta","5 Me encanta","4","5 Me encanta","4","5 Me encanta","1 No me gusta","4","4","1 No me gusta","5 Me encanta","3","5 Me encanta"
"2022/03/12 9:43:03 am CET","Más de 55 años","","3","2","2","2","","","3","2","","","3","","3","","","2","","","","","1 No me gusta","2","3","3"
"2022/03/12 9:43:47 am CET","Más de 55 años","3","3","3","2","3","","2","","","","","3","","","2","3","2","3","","3","","1 No me gusta","2","","2"
"2022/03/12 9:43:59 am CET","Más de 55 años","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","1 No me gusta","1 No me gusta","3","3","","2","3","1 No me gusta","3","1 No me gusta","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","3","1 No me gusta"
"2022/03/12 10:01:07 am CET","Más de 55 años","1 No me gusta","1 No me gusta","5 Me encanta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","4","4","4","5 Me encanta","5 Me encanta","2","1 No me gusta","5 Me encanta","3","5 Me encanta","1 No me gusta","1 No me gusta","1 No me gusta","3","3","1 No me gusta","1 No me gusta"
"2022/03/12 10:05:47 am CET","Más de 55 años","1 No me gusta","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","2","1 No me gusta","1 No me gusta","2","1 No me gusta","1 No me gusta","2","1 No me gusta","1 No me gusta","3","1 No me gusta","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","2"
"2022/03/12 10:22:52 am CET","Más de 55 años","","","","5 Me encanta","","","","","","","","","4","","","5 Me encanta","","","","","","","","",""
"2022/03/12 10:26:07 am CET","Más de 55 años","","2","","","","","","","3","","1 No me gusta","1 No me gusta","","1 No me gusta","1 No me gusta","1 No me gusta","","3","","","","","","","1 No me gusta"
"2022/03/12 10:28:37 am CET","Más de 55 años","3","3","3","","4","","4","3","3","","3","5 Me encanta","4","3","3","5 Me encanta","5 Me encanta","5 Me encanta","3","","","2","4","3","3"
"2022/03/12 10:49:28 am CET","Más de 55 años","1 No me gusta","3","2","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","2","2","2","3","1 No me gusta","2","2","1 No me gusta","2","3","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","2","3"
"2022/03/12 10:52:39 am CET","Más de 55 años","","3","3","","3","","","","","","","3","","3","","","3","","","","","","3","","3"
"2022/03/12 10:53:29 am CET","Más de 55 años","2","1 No me gusta","3","2","2","3","1 No me gusta","2","3","3","3","3","2","3","3","2","2","2","1 No me gusta","1 No me gusta","2","1 No me gusta","3","3","3"
"2022/03/12 10:58:40 am CET","Más de 55 años","","1 No me gusta","","","","","","","","","","1 No me gusta","","","","","","","","","","","","",""
"2022/03/12 11:06:17 am CET","Hasta 54 años","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/03/12 11:24:25 am CET","Más de 55 años","3","4","2","2","3","2","2","4","5 Me encanta","4","4","4","2","4","3","5 Me encanta","4","3","2","3","2","2","3","3","4"
"2022/03/12 11:32:56 am CET","Más de 55 años","3","2","2","","2","","","3","3","","3","3","","","3","3","","3","","","","","3","","3"
"2022/03/12 11:36:01 am CET","Más de 55 años","1 No me gusta","2","5 Me encanta","2","1 No me gusta","2","1 No me gusta","5 Me encanta","3","","5 Me encanta","2","","2","5 Me encanta","3","","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","5 Me encanta","3"
"2022/03/12 11:38:53 am CET","Más de 55 años","3","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","3","2","2","1 No me gusta","3","1 No me gusta","3","2","2","3","2","1 No me gusta","2","2","1 No me gusta","2","3","3"
"2022/03/12 11:41:20 am CET","Más de 55 años","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","","1 No me gusta","1 No me gusta","1 No me gusta","","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta",""
"2022/03/12 11:45:33 am CET","Más de 55 años","","","","","","","","","","","","","","","","","","1 No me gusta","","","","","","",""
"2022/03/12 11:53:21 am CET","Más de 55 años","3","5 Me encanta","3","","3","","3","1 No me gusta","5 Me encanta","","1 No me gusta","1 No me gusta","3","4","2","3","3","4","5 Me encanta","4","4","1 No me gusta","4","2","5 Me encanta"
"2022/03/12 11:53:55 am CET","Más de 55 años","","","","","2","","","","","","","","","","2","","","2","","","","","","",""
"2022/03/12 11:55:04 am CET","Más de 55 años","4","4","2","","4","","","","3","","","5 Me encanta","","2","3","4","4","5 Me encanta","","","4","","4","4","2"
"2022/03/12 11:59:02 am CET","Más de 55 años","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","","","2","2","1 No me gusta","1 No me gusta","1 No me gusta","2","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","2","2"
"2022/03/12 11:59:35 am CET","Más de 55 años","","3","","","","","","3","","","3","3","","2","","3","","","","","","","3","","3"
"2022/03/12 12:01:19 pm CET","Más de 55 años","1 No me gusta","4","1 No me gusta","4","5 Me encanta","4","4","5 Me encanta","5 Me encanta","5 Me encanta","4","5 Me encanta","3","5 Me encanta","2","5 Me encanta","3","5 Me encanta","3","2","3","3","5 Me encanta","4","5 Me encanta"
"2022/03/12 12:10:39 pm CET","Más de 55 años","3","3","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","3","3","2","3","3","3","3","3","3","2","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","3","1 No me gusta","2"
"2022/03/12 12:11:24 pm CET","Más de 55 años","2","3","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","2","2","2","3","1 No me gusta","2","3","2","3","3","2","3","2","1 No me gusta","2","1 No me gusta","2"
"2022/03/12 12:12:32 pm CET","Más de 55 años","1 No me gusta","4","4","2","4","3","4","2","4","2","2","4","1 No me gusta","2","2","1 No me gusta","3","3","2","1 No me gusta","1 No me gusta","1 No me gusta","2","1 No me gusta","2"
"2022/03/12 12:19:42 pm CET","Más de 55 años","4","3","4","2","","1 No me gusta","3","2","4","3","3","4","1 No me gusta","4","2","3","4","4","3","1 No me gusta","1 No me gusta","1 No me gusta","3","1 No me gusta","4"
"2022/03/12 12:20:19 pm CET","Más de 55 años","","","","","","","","","","","","","","","","4","","","","","","","","",""
"2022/03/12 12:23:56 pm CET","Más de 55 años","","","","","","4","","","","","","","","","","","","","","","","","2","",""
"2022/03/12 12:24:14 pm CET","Más de 55 años","","","3","","","","","3","","","","","","","3","3","3","","","","","","","","3"
"2022/03/12 12:25:15 pm CET","Más de 55 años","1 No me gusta","3","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","1 No me gusta","2","3","3","1 No me gusta","1 No me gusta","1 No me gusta","3","3","1 No me gusta","2","3","2"
"2022/03/12 12:26:51 pm CET","Más de 55 años","","4","3","","","3","","3","3","","","","","4","4","","5 Me encanta","4","","","","","","",""
"2022/03/12 12:27:33 pm CET","Más de 55 años","","3","","","2","","","","","","","3","","3","","1 No me gusta","","","","","","","","",""
"2022/03/12 12:29:43 pm CET","Más de 55 años","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","3","2","1 No me gusta","3","1 No me gusta","1 No me gusta","2","2","1 No me gusta","2","2"
"2022/03/12 12:31:29 pm CET","Más de 55 años","4","4","4","","4","","","","","","4","5 Me encanta","4","4","5 Me encanta","5 Me encanta","5 Me encanta","4","","","","","","",""
"2022/03/12 12:33:21 pm CET","Más de 55 años","","3","","","","","","","","","","2","","","","3","","2","","","","","","",""
"2022/03/12 12:37:53 pm CET","Más de 55 años","2","2","5 Me encanta","2","1 No me gusta","1 No me gusta","3","2","5 Me encanta","5 Me encanta","3","5 Me encanta","1 No me gusta","5 Me encanta","3","3","5 Me encanta","3","1 No me gusta","1 No me gusta","2","3","5 Me encanta","3","5 Me encanta"
"2022/03/12 12:39:39 pm CET","Más de 55 años","","5 Me encanta","5 Me encanta","","","","","","","","5 Me encanta","5 Me encanta","3","3","5 Me encanta","5 Me encanta","3","3","","","","1 No me gusta","3","","5 Me encanta"
"2022/03/12 12:40:21 pm CET","Más de 55 años","1 No me gusta","2","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","1 No me gusta","2","3","2","","1 No me gusta","1 No me gusta","1 No me gusta","2","1 No me gusta","1 No me gusta","2","2"
"2022/03/12 12:43:21 pm CET","Más de 55 años","","","","","","","","","","","","","","","","1 No me gusta","","","","","1 No me gusta","","","",""
"2022/03/12 12:46:22 pm CET","Más de 55 años","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/03/12 12:46:28 pm CET","Más de 55 años","2","1 No me gusta","3","1 No me gusta","2","1 No me gusta","2","1 No me gusta","2","2","1 No me gusta","3","1 No me gusta","1 No me gusta","2","2","2","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","1 No me gusta","2"
"2022/03/12 12:47:26 pm CET","Más de 55 años","","2","","","","","","","","","3","","","3","3","3","2","2","","","","","","",""
"2022/03/12 12:48:41 pm CET","Más de 55 años","2","3","3","2","2","3","1 No me gusta","3","3","3","3","3","2","3","3","3","3","3","3","3","2","1 No me gusta","2","3","2"
"2022/03/12 12:49:49 pm CET","Más de 55 años","2","4","4","3","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","3","3","2","4","4","2","4","4","2","4","3","3","3","1 No me gusta","1 No me gusta","1 No me gusta","4"
"2022/03/12 12:51:12 pm CET","Más de 55 años","","3","5 Me encanta","","4","","2","","","","4","4","3","3","5 Me encanta","4","3","4","","","4","","3","3","3"
"2022/03/12 12:51:27 pm CET","Más de 55 años","1 No me gusta","3","1 No me gusta","3","2","1 No me gusta","1 No me gusta","1 No me gusta","3","3","1 No me gusta","3","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","3","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2"
"2022/03/12 12:54:04 pm CET","Más de 55 años","5 Me encanta","","5 Me encanta","5 Me encanta","","5 Me encanta","","","5 Me encanta","5 Me encanta","5 Me encanta","","","","5 Me encanta","","","","","","","","","",""
"2022/03/12 12:56:43 pm CET","Más de 55 años","3","3","3","","2","","","","","","","3","","2","3","3","2","3","","","","2","2","2","3"
"2022/03/12 12:59:18 pm CET","Más de 55 años","","","1 No me gusta","","","","","","","","","1 No me gusta","","","1 No me gusta","","","","","","","","1 No me gusta","",""
